Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,null,null,null,null,null,null
2017-06-02,145.000000,147.399994,142.250000,145.850006,145.850006,4927876
2017-06-05,147.000000,148.000000,145.550003,146.500000,146.500000,3246349
2017-06-06,146.949997,147.500000,142.100006,142.550003,142.550003,3920950
2017-06-07,143.000000,146.699997,141.800003,145.199997,145.199997,4980958
2017-06-08,146.100006,146.850006,143.399994,143.649994,143.649994,2644767
2017-06-09,143.199997,145.250000,142.000000,143.300003,143.300003,4352446
2017-06-12,141.949997,142.399994,137.300003,137.800003,137.800003,6386199
2017-06-13,137.500000,139.100006,136.500000,137.649994,137.649994,5779965
2017-06-14,138.250000,140.399994,136.199997,139.850006,139.850006,6475916
2017-06-15,139.699997,141.600006,137.550003,139.050003,139.050003,5771231
2017-06-16,139.600006,140.100006,137.100006,138.350006,138.350006,2525670
2017-06-19,138.649994,140.600006,137.649994,138.550003,138.550003,3286151
2017-06-20,138.800003,138.800003,136.750000,137.250000,137.250000,2393015
2017-06-21,136.699997,138.750000,136.250000,137.500000,137.500000,2700980
2017-06-22,137.600006,138.449997,135.350006,136.350006,136.350006,2391716
2017-06-23,136.399994,137.100006,132.750000,134.000000,134.000000,3606642
2017-06-27,134.149994,134.800003,127.550003,133.550003,133.550003,7436014
2017-06-28,132.000000,137.649994,131.350006,136.750000,136.750000,4789755
2017-06-29,137.250000,141.500000,135.649994,138.449997,138.449997,4580182
2017-06-30,138.100006,140.250000,137.300003,139.699997,139.699997,3554105
2017-07-03,139.800003,141.000000,138.550003,139.699997,139.699997,2106386
2017-07-04,139.550003,140.250000,136.199997,137.000000,137.000000,2963920
2017-07-05,137.000000,138.750000,136.250000,137.649994,137.649994,1867260
2017-07-06,137.899994,141.649994,137.800003,140.449997,140.449997,4031020
2017-07-07,140.250000,142.850006,140.149994,141.199997,141.199997,2799509
2017-07-10,144.899994,149.699997,144.000000,149.199997,149.199997,1899570
2017-07-11,149.250000,150.899994,143.800003,144.399994,144.399994,3163798
2017-07-12,145.000000,146.050003,141.899994,145.300003,145.300003,3261707
2017-07-13,147.300003,147.500000,143.649994,144.350006,144.350006,2145058
2017-07-14,144.500000,148.350006,142.600006,146.949997,146.949997,4634722
2017-07-17,146.949997,148.800003,145.500000,148.100006,148.100006,2428000
2017-07-18,148.050003,154.500000,147.649994,152.649994,152.649994,8758277
2017-07-19,154.500000,156.949997,153.399994,155.949997,155.949997,3746395
2017-07-20,155.649994,155.649994,150.750000,151.250000,151.250000,3884428
2017-07-21,151.699997,155.500000,151.000000,154.899994,154.899994,3855732
2017-07-24,155.000000,160.899994,154.600006,159.800003,159.800003,6273145
2017-07-25,160.199997,164.500000,159.100006,163.949997,163.949997,5935421
2017-07-26,164.550003,164.550003,159.300003,160.600006,160.600006,4721192
