Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,null,null,null,null,null,null
2017-06-02,265.350006,270.250000,265.350006,268.799988,253.790848,2602919
2017-06-05,267.450012,267.899994,263.700012,264.549988,249.778152,3033579
2017-06-06,265.000000,265.299988,262.000000,262.299988,247.653793,1340588
2017-06-07,263.000000,265.000000,262.500000,264.399994,249.636536,1618299
2017-06-08,264.600006,264.750000,262.100006,262.899994,248.220291,1404808
2017-06-09,264.000000,264.500000,261.000000,261.500000,246.898468,1744203
2017-06-12,261.950012,262.500000,260.100006,260.299988,245.765472,1675846
2017-06-13,260.000000,260.399994,258.500000,259.049988,244.585266,1732288
2017-06-14,259.500000,259.750000,256.100006,257.049988,242.696945,1887257
2017-06-15,256.799988,256.950012,253.000000,254.199997,240.006088,3324587
2017-06-16,254.899994,257.200012,253.949997,255.699997,241.422333,3283821
2017-06-19,256.250000,256.950012,251.500000,253.949997,239.770050,2412135
2017-06-20,254.449997,255.000000,253.000000,253.550003,239.392380,1052345
2017-06-21,253.699997,253.750000,250.100006,250.449997,236.465485,3289233
2017-06-22,250.500000,251.649994,245.199997,245.699997,231.980713,3230390
2017-06-23,245.699997,247.800003,243.100006,244.899994,231.225372,3623117
2017-06-27,245.100006,246.600006,244.000000,244.350006,230.706100,2074212
2017-06-28,246.000000,247.199997,244.550003,245.750000,232.027924,3526585
2017-06-29,246.800003,247.800003,244.600006,245.149994,231.461411,2498353
2017-06-30,244.699997,245.899994,243.500000,244.250000,230.611679,2375289
2017-07-03,245.350006,249.500000,242.600006,248.850006,234.954819,2347837
2017-07-04,250.500000,250.500000,246.199997,246.750000,232.972076,1760337
2017-07-05,248.800003,249.000000,246.250000,247.500000,233.680206,1260907
2017-07-06,247.500000,252.800003,247.100006,251.449997,237.409637,2797532
2017-07-07,250.050003,252.949997,250.050003,251.100006,237.079193,1762982
2017-07-10,253.449997,259.350006,253.449997,258.799988,244.349228,717269
2017-07-11,259.000000,259.899994,253.750000,254.500000,240.289337,1813885
2017-07-12,255.000000,256.750000,253.100006,253.449997,239.297958,2640999
2017-07-13,254.199997,255.800003,251.850006,253.649994,239.486801,2303738
2017-07-14,253.949997,254.300003,248.100006,250.449997,236.465485,2907464
2017-07-17,250.750000,251.000000,246.050003,247.000000,233.208115,4445325
2017-07-18,248.500000,249.300003,245.750000,248.500000,234.624359,5338825
2017-07-19,248.050003,256.649994,248.050003,254.699997,240.478165,4270908
2017-07-20,254.699997,258.500000,254.250000,255.300003,241.044678,3923545
2017-07-21,255.000000,262.950012,254.100006,262.350006,247.701019,7715255
