Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,null,null,null,null,null,null
2017-06-02,208.500000,209.850006,205.675003,207.399994,187.046555,7877742
2017-06-05,208.925003,211.824997,208.074997,211.024994,190.315811,7135776
2017-06-06,212.500000,214.949997,210.050003,212.300003,191.465698,7028988
2017-06-07,214.350006,214.500000,211.100006,213.675003,192.705750,5615000
2017-06-08,214.000000,215.324997,209.074997,209.375000,188.827728,6793960
2017-06-09,209.500000,211.949997,208.074997,210.024994,189.413940,5474706
2017-06-12,210.899994,212.399994,209.074997,211.824997,191.037292,6335674
2017-06-13,211.975006,212.649994,209.050003,209.875000,189.278656,5785536
2017-06-14,208.649994,212.149994,208.649994,210.350006,189.707062,8640726
2017-06-15,211.199997,211.649994,202.250000,203.524994,183.551819,9045670
2017-06-16,204.850006,209.750000,201.375000,202.300003,182.447052,16003002
2017-06-19,204.699997,204.699997,202.149994,203.600006,183.619476,4288210
2017-06-20,205.100006,207.324997,204.024994,205.850006,185.648682,5726260
2017-06-21,206.000000,206.475006,203.774994,204.125000,184.092941,4621196
2017-06-22,203.000000,205.050003,196.149994,196.750000,177.441711,8579900
2017-06-23,197.000000,197.500000,189.024994,191.699997,172.887299,17051804
2017-06-27,192.500000,195.550003,188.100006,195.199997,176.043823,8600820
2017-06-28,193.600006,199.899994,192.925003,193.574997,174.578278,9838172
2017-06-29,194.425003,195.949997,190.949997,193.425003,174.443008,9584698
2017-06-30,192.000000,195.000000,190.850006,192.600006,173.698975,4662768
2017-07-03,192.600006,194.800003,191.199997,193.449997,174.465546,3270940
2017-07-04,194.000000,196.100006,190.399994,190.925003,172.188354,4829078
2017-07-05,191.500000,193.500000,190.024994,192.850006,173.924438,3994012
2017-07-06,192.850006,193.000000,190.350006,190.800003,172.075607,5083066
2017-07-07,191.000000,191.675003,188.574997,191.125000,172.368713,3928026
2017-07-10,192.250000,195.074997,190.000000,191.725006,172.909851,669668
2017-07-11,193.199997,194.375000,190.300003,193.750000,174.736115,6908972
2017-07-12,195.000000,199.300003,195.000000,196.300003,177.035858,8430854
2017-07-13,196.949997,198.000000,188.800003,190.475006,171.782516,15079876
2017-07-14,191.949997,191.949997,185.600006,186.550003,168.242691,12509742
2017-07-17,187.350006,188.300003,184.500000,186.774994,168.445602,9722598
2017-07-18,187.000000,189.074997,185.225006,186.074997,167.814301,12838006
2017-07-19,186.750000,188.949997,186.125000,187.574997,169.167099,8659690
2017-07-20,187.000000,188.899994,186.000000,187.274994,168.896530,5960730
2017-07-21,187.500000,191.350006,186.899994,190.449997,171.759964,11026892
2017-07-24,190.475006,191.475006,188.774994,189.074997,170.519897,7998558
2017-07-25,189.524994,190.000000,186.774994,187.399994,169.009277,6966164
2017-07-26,187.500000,188.024994,186.000000,186.824997,168.490707,5345048
2017-07-27,188.000000,188.000000,183.600006,184.449997,166.348785,12027426
2017-07-28,184.000000,185.000000,182.050003,183.899994,165.852753,6785174
2017-07-31,184.300003,186.850006,183.250000,183.824997,165.785110,5074192
2017-08-01,186.000000,187.750000,184.550003,185.175003,167.002640,9515490
2017-08-02,186.000000,186.625000,183.050003,185.050003,166.889893,8576720
2017-08-03,186.000000,197.500000,185.500000,193.524994,174.533188,34299230
2017-08-04,197.500000,213.399994,196.500000,209.475006,188.917938,31216612
2017-08-07,210.000000,216.725006,207.225006,215.600006,194.441833,17709640
2017-08-08,215.500000,215.500000,204.199997,206.625000,186.347610,10329936
2017-08-09,202.475006,212.899994,201.750000,207.024994,186.708344,12506904
2017-08-10,205.949997,210.475006,201.699997,205.149994,185.017365,8478474
2017-08-11,203.399994,207.750000,201.774994,205.899994,185.693756,7536654
2017-08-14,206.699997,212.125000,205.074997,209.725006,189.143387,5976120
2017-08-16,211.500000,214.000000,210.274994,211.149994,190.428543,7704754
2017-08-17,213.000000,214.800003,211.524994,213.149994,192.232269,6027698
2017-08-18,213.500000,218.000000,211.925003,213.675003,193.614105,11295800
2017-08-21,216.949997,219.000000,205.675003,206.600006,187.203339,10687130
2017-08-22,207.725006,214.699997,207.574997,211.600006,191.733917,11405550
2017-08-23,213.449997,216.625000,212.500000,213.425003,193.387573,5313836
2017-08-24,214.149994,216.399994,213.000000,214.100006,193.999207,7898614
2017-08-28,214.750000,221.250000,214.199997,220.350006,199.662415,12234378
2017-08-29,220.500000,223.250000,216.000000,217.250000,196.853455,10358832
2017-08-30,219.750000,227.449997,218.899994,226.425003,205.167068,17496916
2017-08-31,227.350006,231.475006,224.024994,227.350006,206.005219,23051900
2017-09-01,229.250000,229.250000,223.550003,224.149994,203.105637,8699958
2017-09-04,220.000000,222.350006,213.750000,214.524994,194.384293,12978988
2017-09-05,215.949997,218.449997,214.100006,215.925003,195.652863,7892924
2017-09-06,215.649994,217.800003,213.000000,214.125000,194.021851,7185510
2017-09-07,216.449997,217.475006,213.199997,216.100006,195.811432,8346092
2017-09-08,216.750000,219.250000,212.750000,214.574997,194.429596,7747138
2017-09-11,216.500000,217.975006,213.949997,214.524994,194.384293,4908356
2017-09-12,216.425003,218.399994,215.000000,217.449997,197.034683,5593806
2017-09-13,218.975006,220.800003,204.000000,207.975006,188.449249,22739338
2017-09-14,215.500000,217.250000,206.699997,209.850006,190.148209,17654672
2017-09-15,210.000000,212.500000,206.649994,207.824997,188.313324,10397846
2017-09-18,210.425003,210.500000,207.399994,207.824997,188.313324,5542414
2017-09-19,208.250000,211.324997,206.050003,209.149994,189.513916,6157350
2017-09-20,209.399994,209.725006,206.000000,206.975006,187.543137,4657960
2017-09-21,206.975006,209.949997,205.675003,206.625000,187.225983,7195190
2017-09-22,206.899994,207.000000,199.625000,204.199997,185.028656,10576130
2017-09-25,203.949997,203.949997,198.500000,199.500000,180.769913,9705698
2017-09-26,200.500000,201.850006,192.500000,199.824997,181.064407,13082742
2017-09-27,200.774994,204.000000,196.050003,197.824997,179.252167,8370544
2017-09-28,196.475006,200.350006,187.250000,198.699997,180.045029,15013460
2017-09-29,199.000000,202.750000,196.824997,200.250000,181.449509,8099436
2017-10-03,202.550003,205.399994,199.050003,203.274994,184.190491,5022168
2017-10-04,209.375000,209.500000,203.500000,204.375000,185.187225,10137238
2017-10-05,204.250000,204.574997,200.600006,203.375000,184.281113,4490756
2017-10-06,203.250000,208.750000,202.425003,207.725006,188.222717,10721500
2017-10-09,207.500000,210.449997,205.925003,207.074997,187.633728,8536072
2017-10-10,205.774994,208.274994,204.699997,205.425003,186.138657,6179392
2017-10-11,206.000000,212.199997,205.625000,209.050003,189.423325,10868248
2017-10-12,210.000000,210.899994,207.225006,207.449997,187.973526,5895288
2017-10-13,208.000000,210.149994,206.975006,207.300003,187.837616,5186246
2017-10-16,208.000000,209.899994,206.350006,206.774994,187.361893,6794700
2017-10-17,206.000000,210.699997,206.000000,206.949997,187.520477,5825736
