Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,null,null,null,null,null,null
2017-06-02,316.100006,319.899994,315.200012,319.200012,308.558014,11073749
2017-06-05,315.000000,318.250000,313.299988,317.450012,311.501801,9482413
2017-06-06,317.500000,319.000000,309.299988,311.049988,305.221680,9841205
2017-06-07,311.299988,314.750000,310.350006,312.250000,306.399231,11534375
2017-06-08,313.000000,313.250000,309.399994,311.600006,305.761414,7781415
2017-06-09,310.750000,312.600006,304.700012,306.000000,300.266327,10065468
2017-06-12,307.000000,307.500000,302.500000,304.399994,298.696289,6266299
2017-06-13,305.049988,306.000000,302.200012,305.250000,299.530365,5107002
2017-06-14,304.950012,306.000000,299.149994,299.850006,294.231567,14574048
2017-06-15,302.950012,302.950012,299.500000,301.899994,296.243134,7427656
2017-06-16,302.500000,309.600006,302.500000,306.799988,301.051331,12323676
2017-06-19,309.000000,311.850006,308.100006,310.899994,305.074493,6982651
2017-06-20,312.000000,312.200012,308.100006,308.700012,302.915741,8260929
2017-06-21,309.399994,311.000000,307.200012,308.950012,303.161072,8279767
2017-06-22,308.649994,314.200012,308.200012,311.299988,305.467010,8944754
2017-06-23,310.000000,312.899994,308.600006,311.000000,305.172638,7176861
2017-06-27,311.750000,316.500000,311.000000,312.350006,306.497345,9688675
2017-06-28,311.600006,311.600006,307.100006,308.350006,302.572296,7919072
2017-06-29,309.100006,313.250000,308.600006,311.600006,305.761414,9929212
2017-06-30,310.250000,324.700012,310.250000,323.649994,317.585602,23196959
2017-07-03,346.000000,354.799988,340.299988,342.500000,336.082397,47079622
2017-07-04,342.799988,343.450012,336.250000,337.250000,330.930786,11232007
2017-07-05,337.250000,337.850006,330.250000,331.049988,324.846954,11978317
2017-07-06,334.299988,338.750000,331.299988,337.100006,330.783600,13429462
2017-07-07,338.000000,338.200012,333.049988,334.299988,328.036041,9919790
2017-07-10,332.450012,335.000000,331.000000,333.299988,327.054779,1267634
2017-07-11,335.000000,335.049988,330.000000,330.399994,324.209137,8336685
2017-07-12,328.399994,333.600006,327.399994,328.850006,322.688171,10249263
2017-07-13,332.000000,339.500000,331.000000,338.750000,332.402679,17491942
2017-07-14,339.950012,339.950012,334.799988,337.149994,330.832642,5586611
2017-07-17,335.000000,335.000000,320.700012,325.149994,319.057495,20320210
2017-07-18,292.649994,292.649994,276.399994,284.549988,279.218231,149479681
2017-07-19,287.799988,292.899994,286.200012,291.450012,285.988983,39134264
2017-07-20,294.000000,294.899994,288.399994,289.500000,284.075500,15306864
2017-07-21,291.500000,291.750000,286.549988,288.899994,283.486725,13174402
2017-07-24,290.000000,295.350006,288.100006,293.250000,287.755219,17794337
2017-07-25,295.000000,295.149994,290.850006,291.399994,285.939880,9559657
2017-07-26,292.000000,294.250000,291.500000,293.649994,288.147736,9209593
2017-07-27,294.700012,295.399994,286.750000,288.549988,283.143280,18892800
2017-07-28,294.299988,294.750000,287.149994,291.549988,286.087067,18494629
2017-07-31,289.500000,290.299988,284.500000,285.250000,279.905121,21247233
2017-08-01,285.299988,288.549988,285.000000,287.850006,282.456421,13542016
2017-08-02,289.799988,289.899994,284.299988,285.450012,280.101379,9867353
2017-08-03,285.000000,285.399994,280.649994,281.399994,276.127258,10199231
2017-08-04,280.399994,284.399994,279.649994,280.750000,275.489441,11283020
2017-08-07,281.600006,283.000000,279.450012,279.850006,274.606323,8451267
2017-08-08,280.100006,281.399994,273.500000,274.149994,269.013123,12741118
2017-08-09,274.000000,275.399994,270.399994,272.850006,267.737488,9910187
2017-08-10,272.649994,274.649994,270.750000,273.100006,267.982788,9995867
2017-08-11,271.000000,274.450012,270.100006,271.500000,266.412781,14409594
2017-08-14,274.399994,274.399994,270.500000,271.250000,266.167450,9693041
2017-08-16,272.000000,281.750000,271.350006,279.200012,273.968506,18692336
2017-08-17,281.850006,282.899994,277.899994,280.000000,274.753510,13703999
2017-08-18,279.250000,284.000000,276.799988,281.850006,276.568848,14869905
2017-08-21,282.350006,285.000000,280.950012,281.600006,276.323517,13088154
2017-08-22,282.000000,285.000000,280.350006,282.899994,277.599152,11956919
2017-08-23,283.500000,285.600006,281.600006,282.549988,277.255707,8747634
2017-08-24,282.000000,283.500000,281.100006,281.450012,276.176331,10819303
2017-08-28,282.100006,283.000000,279.299988,282.450012,277.157593,9974428
2017-08-29,282.350006,282.899994,279.399994,280.250000,274.998810,6141239
2017-08-30,281.149994,282.899994,280.600006,282.000000,276.716034,6534233
2017-08-31,283.000000,283.149994,280.399994,282.250000,276.961334,11221831
2017-09-01,282.200012,284.350006,280.700012,283.600006,278.286041,7247857
2017-09-04,283.450012,283.850006,282.000000,283.100006,277.795410,8480587
2017-09-05,282.649994,283.899994,281.600006,282.850006,277.550110,7820187
2017-09-06,280.500000,281.000000,275.250000,275.700012,270.534088,14165258
