Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,null,null,null,null,null,null
2017-06-02,742.000000,743.150024,730.500000,732.200012,725.597351,760194
2017-06-05,731.500000,741.299988,723.099976,738.500000,731.840576,1689341
2017-06-06,740.000000,741.500000,732.500000,738.849976,732.187378,957516
2017-06-07,740.400024,745.000000,732.000000,739.200012,732.534241,1398165
2017-06-08,745.000000,749.900024,740.299988,742.849976,736.151306,986634
2017-06-09,741.900024,762.049988,736.799988,760.099976,753.245728,1415374
2017-06-12,758.700012,765.299988,753.700012,757.650024,750.817871,1983515
2017-06-13,759.599976,784.700012,759.049988,781.200012,774.155518,3548867
2017-06-14,783.000000,783.000000,768.349976,773.299988,766.326721,1723048
2017-06-15,772.150024,780.200012,768.750000,776.599976,769.596985,1122314
2017-06-16,779.900024,784.849976,773.900024,779.549988,772.520386,2474575
2017-06-19,781.400024,782.599976,770.500000,773.750000,766.772705,710867
2017-06-20,777.000000,794.000000,770.200012,775.049988,768.060974,1792933
2017-06-21,774.799988,777.299988,768.150024,772.750000,765.781677,797527
2017-06-22,773.000000,777.950012,766.000000,770.049988,763.106018,804720
2017-06-23,771.700012,774.849976,746.400024,753.599976,746.804382,1259535
2017-06-27,753.500000,758.950012,740.000000,748.799988,742.047668,976883
2017-06-28,741.250000,749.000000,735.049988,742.799988,736.101746,1174570
2017-06-29,746.000000,749.950012,738.000000,742.650024,735.953186,2263554
2017-06-30,737.900024,744.000000,728.000000,742.200012,735.507202,1361765
2017-07-03,745.700012,753.950012,737.000000,751.700012,744.921509,1194598
2017-07-04,755.000000,759.000000,743.500000,747.599976,740.858459,1140099
2017-07-05,749.500000,754.650024,746.099976,752.799988,746.011597,1234985
2017-07-06,753.500000,757.950012,730.200012,753.049988,746.259338,870232
2017-07-07,751.750000,757.000000,740.000000,741.250000,734.565735,695826
2017-07-10,745.049988,749.000000,741.750000,743.200012,736.498169,200578
2017-07-11,747.000000,747.000000,723.000000,725.099976,718.561340,1675572
2017-07-12,724.000000,729.299988,718.000000,725.599976,719.056885,2527530
2017-07-13,728.700012,741.299988,728.000000,738.500000,731.840576,1432209
2017-07-14,738.500000,744.250000,730.299988,742.299988,735.606262,778453
2017-07-17,742.849976,747.250000,735.000000,745.799988,739.074707,837268
2017-07-18,742.000000,750.000000,738.299988,743.200012,736.498169,763090
2017-07-19,744.349976,755.700012,737.599976,750.450012,743.682800,871645
2017-07-20,752.900024,756.799988,747.799988,752.049988,745.268372,508553
2017-07-21,751.299988,755.500000,726.349976,740.099976,733.426086,842920
2017-07-24,741.400024,748.500000,738.099976,743.299988,736.597290,1301626
2017-07-25,742.900024,745.250000,730.950012,732.049988,725.448730,1509954
2017-07-26,732.900024,743.299988,731.750000,737.049988,730.403625,1139642
2017-07-27,740.000000,752.650024,734.900024,737.150024,730.502747,2497414
2017-07-28,739.000000,756.000000,712.400024,720.900024,714.399292,6244922
2017-07-31,714.900024,714.900024,686.549988,690.450012,684.223877,6657351
2017-08-01,690.750000,698.299988,677.150024,690.950012,684.719360,3597159
2017-08-02,694.799988,697.900024,690.250000,693.150024,686.899536,1958294
2017-08-03,692.950012,698.750000,676.000000,681.000000,674.859070,2258508
2017-08-04,681.000000,687.000000,672.799988,684.650024,678.476196,1112424
2017-08-07,688.000000,692.200012,680.700012,687.549988,681.349976,1963882
2017-08-08,684.250000,687.799988,673.000000,681.099976,681.099976,2015826
2017-08-09,679.900024,685.250000,673.099976,676.900024,676.900024,907035
2017-08-10,674.250000,674.450012,648.049988,657.650024,657.650024,1870489
2017-08-11,647.049988,669.750000,641.200012,651.799988,651.799988,1359751
2017-08-14,653.000000,664.849976,652.549988,657.200012,657.200012,1156579
2017-08-16,660.900024,663.450012,647.000000,659.549988,659.549988,2709789
2017-08-17,662.000000,666.500000,656.000000,661.400024,661.400024,1473758
2017-08-18,654.000000,660.700012,647.099976,658.099976,658.099976,1317598
2017-08-21,660.000000,663.299988,647.049988,648.400024,648.400024,796523
2017-08-22,653.700012,653.700012,634.400024,636.099976,636.099976,1063079
2017-08-23,638.000000,662.849976,635.799988,659.700012,659.700012,1601746
2017-08-24,662.000000,664.900024,656.099976,658.000000,658.000000,1109699
2017-08-28,657.700012,661.500000,650.650024,656.599976,656.599976,2123949
2017-08-29,655.000000,672.000000,652.400024,659.000000,659.000000,1952221
2017-08-30,664.000000,667.000000,660.000000,663.900024,663.900024,1208591
2017-08-31,664.700012,676.200012,657.799988,673.849976,673.849976,3582891
2017-09-01,677.900024,684.000000,674.900024,681.299988,681.299988,1783744
2017-09-04,684.000000,689.549988,673.049988,676.400024,676.400024,1727693
2017-09-05,679.599976,683.799988,673.549988,676.950012,676.950012,1466924
2017-09-06,675.000000,681.150024,670.549988,675.799988,675.799988,1797604
2017-09-07,679.200012,684.500000,671.750000,674.000000,674.000000,1703334
2017-09-08,671.599976,675.750000,655.700012,659.150024,659.150024,2014745
2017-09-11,664.900024,665.000000,653.200012,655.400024,655.400024,1604411
2017-09-12,659.250000,665.500000,655.299988,660.200012,660.200012,983206
2017-09-13,660.250000,671.000000,658.799988,660.500000,660.500000,1039889
2017-09-14,663.200012,666.299988,655.849976,659.349976,659.349976,732481
2017-09-15,651.099976,656.700012,644.000000,645.150024,645.150024,2701210
2017-09-18,650.000000,660.450012,648.500000,657.200012,657.200012,1378432
2017-09-19,655.000000,662.950012,648.400024,649.750000,649.750000,2176954
2017-09-20,654.000000,656.549988,646.450012,648.900024,648.900024,1532363
2017-09-21,650.700012,662.400024,642.900024,660.799988,660.799988,2152575
2017-09-22,658.250000,658.900024,635.000000,637.299988,637.299988,1419172
2017-09-25,636.299988,637.750000,613.650024,621.700012,621.700012,1718054
2017-09-26,622.099976,628.099976,616.250000,619.450012,619.450012,1063724
2017-09-27,622.250000,624.450012,603.950012,606.250000,606.250000,1850852
2017-09-28,611.400024,629.799988,609.849976,621.700012,621.700012,2834902
2017-09-29,622.500000,635.000000,621.700012,627.349976,627.349976,1647015
2017-10-03,632.200012,644.250000,629.700012,641.650024,641.650024,1950417
2017-10-04,644.000000,648.099976,639.599976,645.049988,645.049988,1484222
2017-10-05,644.000000,654.349976,640.250000,648.500000,648.500000,1731869
2017-10-06,653.900024,664.799988,651.450012,663.049988,663.049988,1949268
2017-10-09,665.000000,671.549988,660.049988,664.900024,664.900024,1996362
2017-10-10,666.000000,667.900024,658.349976,661.950012,661.950012,645595
2017-10-11,665.900024,665.900024,635.250000,637.500000,637.500000,1948036
2017-10-12,640.000000,654.000000,636.549988,651.599976,651.599976,2005398
2017-10-13,651.599976,657.799988,650.349976,652.950012,652.950012,621301
2017-10-16,656.000000,661.000000,651.799988,659.549988,659.549988,1145244
2017-10-17,660.349976,674.200012,659.450012,670.099976,670.099976,2381825
2017-10-18,669.000000,674.950012,662.950012,669.099976,669.099976,1323386
2017-10-19,670.000000,675.000000,658.099976,663.049988,663.049988,184027
2017-10-23,663.099976,668.099976,648.099976,651.000000,651.000000,1713634
2017-10-24,651.000000,652.900024,630.849976,633.849976,633.849976,2423208
2017-10-25,639.900024,639.900024,609.099976,618.400024,618.400024,2338286
2017-10-26,613.049988,624.400024,608.400024,615.250000,615.250000,3144773
2017-10-27,616.250000,624.150024,610.500000,613.650024,613.650024,842083
2017-10-30,619.000000,628.000000,613.000000,618.200012,618.200012,2694014
2017-10-31,605.299988,621.799988,597.099976,598.700012,598.700012,5944887
2017-11-01,599.000000,606.450012,591.099976,597.299988,597.299988,4990270
2017-11-02,598.000000,608.400024,595.799988,605.549988,605.549988,3391817
2017-11-03,608.500000,613.849976,602.099976,608.500000,608.500000,2681734
2017-11-06,607.000000,613.400024,605.049988,606.650024,606.650024,1204768
2017-11-07,608.000000,611.000000,596.700012,601.549988,601.549988,2093713
2017-11-08,601.599976,602.500000,583.599976,585.400024,585.400024,2236504
2017-11-09,586.799988,592.750000,575.099976,582.650024,582.650024,1923740
2017-11-10,583.000000,594.000000,579.650024,586.549988,586.549988,1465428
2017-11-13,587.450012,590.500000,583.000000,584.549988,584.549988,1086539
2017-11-14,585.000000,595.950012,584.000000,585.700012,585.700012,1455779
2017-11-15,586.000000,589.000000,573.799988,578.299988,578.299988,1191226
2017-11-16,580.250000,588.250000,573.650024,582.400024,582.400024,1256666
2017-11-17,599.000000,608.000000,592.049988,604.599976,604.599976,2430784
2017-11-20,605.950012,610.000000,600.450012,605.599976,605.599976,1379235
2017-11-21,606.700012,610.000000,600.000000,600.950012,600.950012,1205901
2017-11-22,602.200012,604.099976,593.500000,599.000000,599.000000,971926
2017-11-23,599.450012,608.000000,597.599976,603.299988,603.299988,1177550
2017-11-24,603.000000,606.349976,596.349976,597.549988,597.549988,833213
2017-11-27,596.700012,600.799988,592.599976,596.150024,596.150024,1407240
2017-11-28,593.099976,605.700012,592.299988,597.000000,597.000000,1681355
2017-11-29,598.299988,602.650024,597.650024,599.400024,599.400024,973267
2017-11-30,597.950012,597.950012,579.049988,581.599976,581.599976,3356820
2017-12-01,585.500000,591.000000,568.000000,571.049988,571.049988,1672266
2017-12-04,572.500000,575.849976,565.150024,570.349976,570.349976,1253190
2017-12-05,570.349976,574.900024,562.000000,572.750000,572.750000,1222999
2017-12-06,572.500000,572.750000,551.500000,553.400024,553.400024,2167422
2017-12-07,552.500000,562.450012,550.000000,561.299988,561.299988,1515157
2017-12-08,563.700012,571.250000,563.049988,566.400024,566.400024,1698174
2017-12-11,568.849976,570.000000,560.000000,562.400024,562.400024,1096256
2017-12-12,562.099976,562.400024,550.200012,551.400024,551.400024,1749353
2017-12-13,551.450012,559.500000,541.150024,544.349976,544.349976,1622635
2017-12-14,548.000000,548.000000,536.150024,545.099976,545.099976,1615567
2017-12-15,552.049988,558.000000,548.799988,556.250000,556.250000,1581020
2017-12-18,549.450012,567.299988,539.049988,559.049988,559.049988,2419731
2017-12-19,562.000000,567.349976,558.450012,565.250000,565.250000,2171548
2017-12-20,566.849976,572.900024,566.700012,569.500000,569.500000,1723058
2017-12-21,569.000000,577.000000,563.250000,572.200012,572.200012,1494072
2017-12-22,575.099976,576.599976,565.099976,567.750000,567.750000,1230538
2017-12-26,567.000000,573.500000,566.849976,568.900024,568.900024,638163
2017-12-27,569.400024,573.500000,565.900024,567.950012,567.950012,1465354
2017-12-28,567.000000,567.000000,559.000000,561.049988,561.049988,1476301
