Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,null,null,null,null,null,null
2017-06-02,57.150002,58.099998,56.500000,57.299999,57.299999,5264946
2017-06-05,57.799999,57.950001,56.900002,57.049999,57.049999,3222701
2017-06-06,57.150002,57.349998,56.549999,56.849998,56.849998,2716377
2017-06-07,56.849998,57.299999,56.599998,57.000000,57.000000,2962810
2017-06-08,57.500000,58.700001,57.400002,57.650002,57.650002,6360632
2017-06-09,58.000000,58.000000,57.000000,57.400002,57.400002,5363273
2017-06-12,57.450001,57.950001,56.900002,57.150002,57.150002,3282017
2017-06-13,57.299999,57.599998,56.200001,56.400002,56.400002,3015989
2017-06-14,56.349998,56.500000,55.500000,55.900002,55.900002,4263882
2017-06-15,55.750000,57.049999,55.650002,56.400002,56.400002,3211998
2017-06-16,56.549999,57.549999,56.500000,56.900002,56.900002,5609766
2017-06-19,57.250000,57.900002,56.900002,57.650002,57.650002,3398821
2017-06-20,57.849998,58.099998,57.049999,57.349998,57.349998,3248932
2017-06-21,57.200001,58.049999,57.049999,57.299999,57.299999,3565857
2017-06-22,57.500000,59.299999,57.400002,58.450001,58.450001,7793945
2017-06-23,58.049999,58.849998,56.849998,57.599998,57.599998,6219574
2017-06-27,57.500000,57.799999,56.200001,56.450001,56.450001,2837947
2017-06-28,56.500000,57.450001,56.150002,57.049999,57.049999,3812635
2017-06-29,57.299999,58.150002,57.200001,57.950001,57.950001,3287696
2017-06-30,58.000000,58.849998,57.400002,58.349998,58.349998,3300878
2017-07-03,58.500000,59.049999,58.349998,58.849998,58.849998,2246544
2017-07-04,58.750000,59.450001,58.150002,58.349998,58.349998,2971290
2017-07-05,58.349998,59.849998,58.099998,59.599998,59.599998,4696131
2017-07-06,59.750000,60.349998,59.500000,59.650002,59.650002,5761233
2017-07-07,59.500000,62.200001,59.450001,61.650002,61.650002,8171242
2017-07-10,61.799999,63.250000,61.650002,62.950001,62.950001,1924697
2017-07-11,63.400002,63.650002,61.549999,61.750000,61.750000,5141197
2017-07-12,61.849998,62.700001,61.700001,62.200001,62.200001,3347756
2017-07-13,62.349998,62.750000,61.099998,61.849998,61.849998,4053240
