Date,Open,High,Low,Close,Adj Close,Volume
2017-06-01,null,null,null,null,null,null
2017-06-02,478.226013,479.416992,464.983002,468.699005,460.086426,5963034
2017-06-05,469.699005,476.273010,463.983002,468.079010,459.477814,4977954
2017-06-06,470.557007,473.033997,465.364014,467.127014,458.543304,4328115
2017-06-07,468.507996,470.984985,463.983002,467.651001,459.057678,3450279
2017-06-08,479.226990,487.230011,474.082001,475.415985,466.679962,12520108
2017-06-09,474.843994,484.324005,472.414001,483.084991,474.208069,6647103
2017-06-12,483.704010,489.897003,481.608002,484.371002,475.470428,5545372
2017-06-13,484.942993,488.658997,481.608002,484.562012,475.657928,6261526
2017-06-14,483.989990,485.657990,477.463989,478.893005,470.093109,4929097
2017-06-15,477.131012,482.561005,475.653992,478.798004,469.999847,4280329
2017-06-16,480.178986,483.704010,477.463989,478.226013,469.438354,3594818
2017-06-19,486.182007,495.994995,483.514008,494.993988,485.898224,10069870
2017-06-20,499.234009,500.806000,495.898987,497.661987,488.517181,6205067
2017-06-21,496.661987,498.901001,491.325989,493.183990,484.121490,4472257
2017-06-22,496.376007,497.661987,487.800995,490.658997,481.642883,4002083
2017-06-23,489.610992,489.610992,478.941010,483.276001,474.395569,4193785
2017-06-27,485.895996,489.515991,479.989014,486.752991,477.808655,4771615
2017-06-28,487.800995,498.138000,485.324005,495.994995,486.880829,7238191
2017-06-29,500.091003,511.238007,497.376007,509.761993,500.394867,10130768
2017-06-30,509.190002,522.004028,504.997986,519.955994,510.401520,8889430
2017-07-03,519.718018,527.197021,516.431030,524.577026,514.937683,6767731
2017-07-04,525.052979,528.340027,518.669983,521.671021,512.085022,5289830
2017-07-05,518.669983,526.387024,518.289001,523.958008,514.330017,4960285
2017-07-06,524.005005,531.151001,523.052002,528.434998,518.724731,6829371
2017-07-07,526.862976,528.674011,524.862976,527.197021,517.509521,4303436
2017-07-10,526.101013,535.057007,523.242981,532.913025,523.120483,1132017
2017-07-11,533.914001,535.390015,528.958984,530.531006,520.782227,5156482
2017-07-12,533.533020,534.676025,528.768982,532.674988,522.886780,4262461
2017-07-13,538.296021,539.249023,533.723022,537.296021,527.422913,4463427
2017-07-14,538.200989,538.200989,530.435974,532.007996,522.232056,4909754
2017-07-17,535.533020,537.104980,530.770020,533.341980,523.541565,2582514
2017-07-18,531.197998,542.106995,530.674011,536.677002,526.815308,3613061
2017-07-19,537.343018,545.299011,536.723999,544.203003,534.203003,3448966
2017-07-20,535.723999,537.104980,529.960022,530.864990,530.864990,3422253
2017-07-21,531.627014,531.674988,517.955017,527.101990,527.101990,3458467
2017-07-24,528.197021,528.197021,521.479980,522.575989,522.575989,2267625
2017-07-25,522.956970,527.864014,522.814026,526.815979,526.815979,2981070
2017-07-26,528.768982,541.106995,527.911011,539.010986,539.010986,7439007
2017-07-27,540.153992,541.677979,531.721985,534.723022,534.723022,4218582
2017-07-28,534.294983,534.294983,522.528015,525.815002,525.815002,2531328
2017-07-31,527.101990,544.393982,527.101990,540.296997,540.296997,5903678
2017-08-01,542.773987,548.062012,541.726013,545.346008,545.346008,5343703
2017-08-02,545.918030,546.679993,538.773010,542.344971,542.344971,3135855
2017-08-03,540.202026,541.487976,531.197998,532.866028,532.866028,3449489
2017-08-04,532.960999,553.348999,532.866028,548.632996,548.632996,3530137
2017-08-07,557.351013,573.213989,556.398010,571.690002,571.690002,11559259
2017-08-08,581.408020,595.937012,577.357971,587.315002,587.315002,21040567
2017-08-09,586.885986,591.078003,574.023987,576.453003,576.453003,5460702
2017-08-10,576.215027,585.646973,569.783997,575.786011,575.786011,8065231
2017-08-11,571.642029,577.310974,563.306030,568.546021,568.546021,9004902
2017-08-14,578.692017,596.031982,576.406006,594.268982,594.268982,8980362
2017-08-16,595.460022,602.749023,591.125000,601.367004,601.367004,7693985
2017-08-17,600.318970,606.893005,594.603027,595.841003,595.841003,4845631
2017-08-18,593.031006,599.033020,590.791992,596.080017,596.080017,3554188
2017-08-21,602.987000,608.465027,589.838989,592.172974,592.172974,4382792
2017-08-22,600.176025,600.176025,585.361023,590.315979,590.315979,3873797
2017-08-23,594.507996,606.369019,587.362000,604.606995,604.606995,4113249
2017-08-24,605.940002,610.275024,600.796021,608.799011,608.799011,5152853
2017-08-28,609.893982,612.513977,601.939026,605.797974,605.797974,3742670
2017-08-29,605.463989,610.179993,598.270996,600.414978,600.414978,3614092
2017-08-30,604.987976,611.085022,604.130005,608.465027,608.465027,3698998
2017-08-31,606.846008,612.609985,602.320007,607.893982,607.893982,6837377
2017-09-01,609.703979,621.898987,608.846008,620.421997,620.421997,6457582
2017-09-04,620.231995,620.898010,611.181030,615.992004,615.992004,2530945
2017-09-05,617.039978,623.518005,616.658997,621.280029,621.280029,3326050
2017-09-06,616.515991,625.091003,614.992004,622.137024,622.137024,2861729
2017-09-07,625.947998,625.947998,619.565002,621.945984,621.945984,2628633
2017-09-08,623.184998,632.330994,621.041016,624.424011,624.424011,4946012
2017-09-11,625.947998,632.473999,621.755981,631.283020,631.283020,3368034
2017-09-12,643.096985,660.245972,642.620972,650.624023,650.624023,10823838
2017-09-13,649.528015,651.481018,643.716003,647.526978,647.526978,2470013
2017-09-14,647.385010,651.338013,640.333984,645.669983,645.669983,2000566
2017-09-15,644.049988,649.195007,639.809998,646.861023,646.861023,3402692
2017-09-18,644.049988,650.718994,639.382019,641.096008,641.096008,2407010
2017-09-19,641.859009,649.146973,641.192017,644.431030,644.431030,3892808
2017-09-20,644.241028,659.103027,642.572998,655.148987,655.148987,9216576
2017-09-21,661.008972,663.343018,649.004028,654.625000,654.625000,6436658
2017-09-22,651.671997,651.671997,620.231995,623.090027,623.090027,4638142
2017-09-25,624.041992,624.232971,593.650024,609.513000,609.513000,7414405
2017-09-26,612.132996,625.947998,608.656006,623.184998,623.184998,4144626
2017-09-27,628.806030,628.806030,612.656982,618.659973,618.659973,5205858
2017-09-28,622.041992,625.471985,612.276001,618.992981,618.992981,6905383
2017-09-29,623.851990,625.947998,619.325989,621.708008,621.708008,2979691
2017-10-03,625.471985,634.427002,625.471985,629.567993,629.567993,2991342
2017-10-04,629.187012,631.236023,623.518005,627.853027,627.853027,2922691
2017-10-05,626.901001,633.903015,626.377014,629.758972,629.758972,1629636
2017-10-06,633.807983,661.008972,633.617004,658.770020,658.770020,9934342
2017-10-09,660.245972,671.107971,658.913025,664.296021,664.296021,5897854
2017-10-10,667.820984,670.869995,652.719971,658.150024,658.150024,4406152
2017-10-11,661.676025,665.771973,641.478027,650.052002,650.052002,4399950
2017-10-12,655.482971,661.008972,649.195007,658.913025,658.913025,4748785
2017-10-13,664.580994,683.541016,662.151978,677.252991,677.252991,10106433
2017-10-16,679.492004,685.494019,678.015015,681.158997,681.158997,4422049
2017-10-17,681.158997,684.255005,674.966003,678.825012,678.825012,2940209
2017-10-18,682.017029,683.874023,673.679993,676.062012,676.062012,3570154
2017-10-19,675.346985,677.395996,669.679016,672.156006,672.156006,430799
2017-10-23,673.203979,680.586975,672.346008,678.348999,678.348999,2854885
2017-10-24,682.825989,693.877991,680.302002,685.302979,685.302979,4780968
2017-10-25,687.922974,692.354004,675.966980,683.684021,683.684021,3321910
2017-10-26,683.778992,698.164978,681.968994,694.736023,694.736023,5947582
2017-10-27,698.260986,700.023010,688.447998,692.448975,692.448975,2914833
2017-10-30,695.401978,700.260986,679.443970,684.302979,684.302979,5297188
2017-10-31,689.781006,695.307007,664.247986,670.536011,670.536011,14217432
2017-11-01,679.825012,683.112000,670.346008,673.870972,673.870972,5729489
2017-11-02,675.442993,675.442993,664.533997,672.726990,672.726990,3341471
2017-11-03,674.538025,679.348999,670.393005,675.395020,675.395020,3450679
2017-11-06,671.632019,682.112000,666.249023,673.393982,673.393982,4138419
2017-11-07,676.348022,679.443970,653.911011,660.437012,660.437012,4678414
2017-11-08,662.343018,667.392029,651.718994,660.388977,660.388977,3768639
2017-11-09,665.963013,671.726990,660.723022,670.155029,670.155029,2668169
2017-11-10,667.487000,675.203979,662.818970,669.059021,669.059021,3036700
2017-11-13,670.250000,671.155029,654.625000,658.388977,658.388977,3399127
2017-11-14,656.911987,662.247009,649.481018,653.101013,653.101013,3874654
2017-11-15,646.908020,649.289978,637.619019,645.716980,645.716980,4511242
